Station_Name,Latitude,Longitude,Elevation,Station_Type,Station_ID
Stage IV Nexrad (4-m spacing),34.3762155322698,-78.4000827283141,,StageIV,Stg_IV_34.37_-78.40
Stage IV Nexrad (4-m spacing),34.4565533379525,-78.4000234164922,,StageIV,Stg_IV_34.45_-78.40
Stage IV Nexrad (4-m spacing),34.5369505080865,-78.399963902532,,StageIV,Stg_IV_34.53_-78.39
Stage IV Nexrad (4-m spacing),34.6174070292588,-78.3999041853984,,StageIV,Stg_IV_34.61_-78.39
Stage IV Nexrad (4-m spacing),34.6979228878022,-78.3998442640492,,StageIV,Stg_IV_34.69_-78.39
Stage IV Nexrad (4-m spacing),34.7784980697951,-78.3997841374351,,StageIV,Stg_IV_34.77_-78.39
Stage IV Nexrad (4-m spacing),34.3280288659448,-78.3806776052631,,StageIV,Stg_IV_34.32_-78.38
Stage IV Nexrad (4-m spacing),34.4083310161596,-78.3805853769376,,StageIV,Stg_IV_34.40_-78.38
Stage IV Nexrad (4-m spacing),34.4886925386505,-78.3804928346135,,StageIV,Stg_IV_34.48_-78.38
Stage IV Nexrad (4-m spacing),34.5691134201558,-78.3803999766846,,StageIV,Stg_IV_34.56_-78.38
Stage IV Nexrad (4-m spacing),34.6495936471604,-78.3803068015337,,StageIV,Stg_IV_34.64_-78.38
Stage IV Nexrad (4-m spacing),34.7301332058949,-78.3802133075324,,StageIV,Stg_IV_34.73_-78.38
Stage IV Nexrad (4-m spacing),34.2798581754491,-78.3613119597396,,StageIV,Stg_IV_34.27_-78.36
Stage IV Nexrad (4-m spacing),34.3601246523677,-78.3611869490298,,StageIV,Stg_IV_34.36_-78.36
Stage IV Nexrad (4-m spacing),34.4404505092524,-78.3610615131459,,StageIV,Stg_IV_34.44_-78.36
Stage IV Nexrad (4-m spacing),34.5208357329926,-78.360935649915,,StageIV,Stg_IV_34.52_-78.36
Stage IV Nexrad (4-m spacing),34.6012803102246,-78.3608093571496,,StageIV,Stg_IV_34.60_-78.36
Stage IV Nexrad (4-m spacing),34.6817842273309,-78.3606826326471,,StageIV,Stg_IV_34.68_-78.36
Stage IV Nexrad (4-m spacing),34.3119342731935,-78.3418280162424,,StageIV,Stg_IV_34.31_-78.34
Stage IV Nexrad (4-m spacing),34.3922244466427,-78.3416698210072,,StageIV,Stg_IV_34.39_-78.34
Stage IV Nexrad (4-m spacing),34.4725739946539,-78.3415110873683,,StageIV,Stg_IV_34.47_-78.34
